participant,task_label,task_duration_s,pupil_mean_bc,pupil_slope,blink_time_frac,blink_per_min,pupil_valid_pct,fix_count,fix_rate_hz,fix_dur_mean_s,fix_dur_std_s,fix_dur_total_s,sac_count,sac_rate_hz,sac_amp_mean_px,sac_amp_std_px,pupil_mean_bc_z,pupil_slope_z,blink_time_frac_z,blink_per_min_z,pupil_valid_pct_z,fix_count_z,fix_rate_hz_z,fix_dur_mean_s_z,fix_dur_std_s_z,fix_dur_total_s_z,sac_count_z,sac_rate_hz_z,sac_amp_mean_px_z,sac_amp_std_px_z
P03,task3_10_1,122.93,0.0993,-9.716e-05,0.0759,14.15,98.6,230,2.053,0.4871,0.4935,112.04,200,36.988,119.1475,217.4831,0.6673717823,0.4340096707,-0.4022100127,-0.2172487678,0.4313466444,-0.8339534338,-0.7917155403,0.8223210469,0.2951117554,-0.7283331027,-0.8106812031,0.5658590048,-0.8866306981,0.1952603826
P03,task3_3_1,46.22,-0.0512,-0.00807041,0.062,14.28,100,83,1.965,0.509,0.5869,42.25,69,33.774,171.8658,267.6226,-0.7235637285,-2.579862376,-0.8339257792,-0.1543482337,1.047556137,-1.550860772,-1.146998394,1.296862046,1.295599521,-1.492412279,-1.546132987,-1.088079556,1.188032464,1.783512808
P03,task3_4_2,365.85,-0.0231,-2.921e-05,0.1132,15.91,95.8,729,2.28,0.4386,0.4333,319.76,624,36.352,127.2095,189.3831,-0.4638608192,0.4596946305,0.7562790586,0.6343276939,-0.8010723397,1.599629978,0.1247527292,-0.2286030842,-0.3497422437,1.545839796,1.569712357,0.2385706026,-0.56936071,-0.6948540612
P03,task3_8_2,237.92,0.0752,0.00102835,0.0666,14.88,99.7,492,2.292,0.4363,0.3525,214.68,406,33.032,171.5136,208.6864,0.4446372586,0.8594501282,-0.6910558133,0.1359619237,0.9155112454,0.4437997806,0.173200391,-0.2784407234,-1.215260568,0.3953964675,0.3458307625,-1.469916025,1.174172071,-0.08338978565
P03,task3_8_3,162.45,0.1042,-0.00032464,0.1296,16.62,94.5,321,2.305,0.4338,0.417,139.24,265,35.464,152.8301,225.2066,0.7126580547,0.3480227001,1.265641546,0.9778613801,-1.373266868,-0.3901536533,0.225685358,-0.3326120704,-0.524345569,-0.4305403873,-0.445762379,-0.2183981099,0.4389061542,0.439915148
P04,task1_5_2,485.76,0.1796,0.00036917,0.0493,2.59,96.6,807,1.862,0.5371,0.5472,433.43,655,34.338,129.8523,183.4537,0.1897003467,1.224575109,1.624264064,0.3983817611,-1.486941329,-0.2762295934,0.294218802,-0.3302877549,0.8798356532,-0.3123448669,-0.2536049049,-0.9433294746,1.510208437,1.361226546
P04,task1_6_2,1013.91,0.2906,-0.00015779,0.0171,1.6,99.1,1489,1.58,0.6328,0.5687,942.22,1216,36.289,91.9009,100.8622,1.253769108,0.1679076852,-0.8453672357,-1.4896935,0.6040699149,1.066206863,-2.099137991,2.246495246,1.33946902,1.39071234,1.102805227,1.217370009,-1.427310756,-1.824350591
P04,task2_2_1,729.57,-0.0309,-0.00022346,0.0263,2.14,98.5,1227,1.85,0.5407,0.527,663.39,975,33.748,130.5612,179.8759,-1.828195817,0.03622529993,-0.139758293,-0.4598342668,0.1022272164,0.5504908049,0.1923738321,-0.233355479,0.4479940718,0.4573932083,0.5201049744,-1.59674449,1.565078807,1.223229805
P04,task2_5_1,1132.04,0.1857,-0.00026855,0.0277,2.07,98.3,1901,1.839,0.5437,0.463,1033.59,1529,34.845,112.9449,156.6278,0.2481761975,-0.05418978688,-0.03238301911,-0.5933345378,-0.06505368314,1.877180206,0.09901594297,-0.1525785824,-0.9202168792,1.696552346,1.859590203,-0.3818355543,0.2015396659,0.3265441184
P04,task3_10_1,210.13,0.1193,-0.00076584,0.0162,2,99.4,343,1.77,0.565,0.4769,193.78,262,34.855,108.9203,124.2775,-0.3883478181,-1.05136252,-0.9143941975,-0.7268348088,0.8549912641,-1.189558795,-0.486592634,0.4209373833,-0.6230585633,-1.114517983,-1.20381735,-0.3707607236,-0.1099729462,-0.9212159546
